time,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,city
2021-01-01T00:00,23.1,75,0.0,1010.8,10.2,352,Mumbai
2021-01-01T01:00,22.8,74,0.0,1010.5,7.2,360,Mumbai
2021-01-01T02:00,22.3,77,0.0,1009.8,6.2,350,Mumbai
2021-01-01T03:00,21.8,82,0.0,1009.6,4.7,351,Mumbai
2021-01-01T04:00,21.4,84,0.0,1009.5,4.7,9,Mumbai
2021-01-01T05:00,21.4,84,0.0,1009.8,5.1,51,Mumbai
2021-01-01T06:00,20.8,87,0.0,1010.5,5.0,60,Mumbai
2021-01-01T07:00,21.2,86,0.0,1011.3,3.6,37,Mumbai
2021-01-01T08:00,23.2,74,0.0,1012.0,4.1,52,Mumbai
2021-01-01T09:00,26.1,63,0.0,1012.6,5.1,82,Mumbai
2021-01-01T10:00,28.9,52,0.0,1012.5,8.2,105,Mumbai
2021-01-01T11:00,30.9,46,0.0,1011.9,10.0,139,Mumbai
2021-01-01T12:00,31.7,44,0.0,1011.0,10.4,182,Mumbai
2021-01-01T13:00,31.1,47,0.0,1010.3,12.5,224,Mumbai
2021-01-01T14:00,30.2,51,0.0,1009.6,14.8,244,Mumbai
2021-01-01T15:00,28.9,59,0.0,1009.2,17.3,268,Mumbai
2021-01-01T16:00,27.8,65,0.0,1009.2,14.8,283,Mumbai
2021-01-01T17:00,26.9,71,0.0,1009.2,10.7,303,Mumbai
2021-01-01T18:00,26.0,76,0.0,1009.9,9.7,333,Mumbai
2021-01-01T19:00,25.4,78,0.0,1010.6,9.6,340,Mumbai
2021-01-01T20:00,24.9,78,0.0,1011.4,7.2,6,Mumbai
2021-01-01T21:00,24.7,77,0.0,1011.6,8.3,358,Mumbai
2021-01-01T22:00,24.6,76,0.0,1011.8,7.6,357,Mumbai
2021-01-01T23:00,24.1,77,0.0,1011.8,6.2,7,Mumbai
2021-01-02T00:00,23.9,79,0.0,1011.6,5.4,48,Mumbai
2021-01-02T01:00,23.3,82,0.0,1011.2,3.8,49,Mumbai
2021-01-02T02:00,22.7,86,0.0,1010.6,4.3,48,Mumbai
2021-01-02T03:00,22.9,85,0.0,1010.4,4.8,42,Mumbai
2021-01-02T04:00,22.9,84,0.0,1010.2,6.5,34,Mumbai
2021-01-02T05:00,22.7,89,0.0,1010.5,4.0,350,Mumbai
2021-01-02T06:00,22.6,91,0.0,1011.2,4.5,346,Mumbai
2021-01-02T07:00,22.9,91,0.0,1012.1,6.0,327,Mumbai
2021-01-02T08:00,24.4,83,0.0,1012.9,6.6,347,Mumbai
2021-01-02T09:00,26.2,70,0.0,1013.7,4.7,9,Mumbai
2021-01-02T10:00,27.7,63,0.0,1013.8,2.0,315,Mumbai
2021-01-02T11:00,28.4,62,0.0,1013.1,4.3,270,Mumbai
2021-01-02T12:00,28.8,62,0.0,1012.3,7.9,267,Mumbai
2021-01-02T13:00,28.9,61,0.0,1011.3,10.4,268,Mumbai
2021-01-02T14:00,28.5,62,0.0,1010.4,12.2,272,Mumbai
